MULT	u2base(User0,item20)	rating(User0,item20)	action(item20)	Age(User0)	drama(item20)	Gender(User0)	horror(item20)
63	T	1	0	2	1	M	0
64	T	5	0	0	0	F	1
67	T	4	0	2	0	M	1
70	T	3	1	1	0	M	1
72	T	3	1	0	1	F	0
78	T	3	0	1	0	F	1
79	T	1	0	0	0	M	1
79	T	5	0	2	0	F	0
85	T	5	1	0	0	M	1
91	T	3	0	0	0	F	1
93	T	4	0	1	0	F	1
97	T	5	1	2	1	M	0
98	T	1	1	1	0	F	0
101	T	1	0	1	0	M	1
101	T	1	0	2	0	M	0
106	T	4	1	1	0	M	1
107	T	4	1	0	1	F	0
109	T	5	1	0	1	F	0
110	T	2	1	0	1	M	0
112	T	2	1	2	0	M	0
113	T	3	0	2	0	F	0
114	T	2	1	1	1	M	0
118	T	4	0	0	0	F	1
120	F	N/A	0	2	1	F	1
121	T	3	1	1	1	F	0
123	T	3	0	2	1	F	0
123	T	4	0	2	0	F	0
126	T	4	1	2	1	M	0
127	T	5	1	1	1	F	0
130	T	3	1	0	0	M	1
137	T	1	0	1	1	F	0
144	T	4	1	1	1	F	0
145	T	1	1	0	0	F	0
146	T	5	0	1	0	M	1
147	T	5	0	0	0	M	1
152	T	5	1	2	0	M	0
155	T	5	0	2	1	F	0
161	T	4	1	0	0	M	1
165	T	2	0	1	0	M	1
166	T	2	0	0	0	M	1
187	T	4	0	2	1	F	0
192	T	2	1	0	0	F	0
220	T	2	0	2	0	M	0
220	T	2	1	1	0	F	0
226	T	2	0	2	1	M	0
251	T	4	0	1	0	M	1
253	T	1	0	1	0	F	0
274	T	3	0	0	0	M	1
276	T	3	1	1	1	M	0
284	T	1	1	1	0	M	0
284	T	3	1	0	1	M	0
294	T	1	0	0	1	F	0
302	T	3	1	2	0	M	0
303	T	2	0	0	1	F	0
310	T	5	1	1	0	F	0
311	F	N/A	1	2	0	F	1
316	T	3	0	1	0	M	1
330	T	4	1	2	0	M	0
343	T	1	0	0	1	M	0
348	T	4	0	0	0	M	1
352	T	5	1	1	1	M	0
359	T	1	0	0	0	F	0
360	T	5	1	0	1	M	0
365	T	5	1	0	0	F	0
383	T	1	0	1	1	M	0
387	F	N/A	0	2	1	M	1
409	T	2	0	0	0	F	0
416	T	2	0	1	1	F	0
434	T	4	1	1	1	M	0
438	T	3	1	0	0	F	0
440	T	4	1	0	1	M	0
449	T	2	0	1	0	F	0
451	T	4	1	0	0	F	0
458	T	1	1	0	0	M	0
467	T	5	0	2	0	M	0
477	F	N/A	0	0	1	F	1
497	T	3	1	1	0	F	0
541	T	3	0	2	0	M	0
579	T	1	0	1	0	M	0
582	T	4	1	1	0	F	0
610	T	3	0	2	1	M	0
632	T	5	0	2	1	M	0
667	T	1	0	0	0	M	0
683	T	2	1	1	0	M	0
684	F	N/A	0	1	1	F	1
728	T	5	0	0	0	F	0
731	T	3	0	0	1	F	0
743	T	5	0	0	1	F	0
776	T	5	0	1	0	F	0
780	T	2	0	1	1	M	0
809	T	4	0	2	0	M	0
817	T	2	0	0	1	M	0
861	T	5	1	1	0	M	0
899	T	3	0	0	0	F	0
935	T	2	1	0	0	M	0
978	F	N/A	1	2	0	M	1
979	T	4	0	0	0	F	0
981	T	4	0	0	1	F	0
1059	F	N/A	1	2	1	F	0
1064	T	2	0	1	0	M	0
1092	T	5	1	0	0	M	0
1115	T	5	0	1	1	F	0
1121	T	4	0	2	1	M	0
1144	T	3	0	1	0	F	0
1202	T	3	0	1	1	F	0
1226	F	N/A	0	0	1	M	1
1251	T	2	0	0	0	M	0
1264	F	N/A	1	0	0	F	1
1314	T	4	0	1	0	F	0
1514	F	N/A	0	1	1	M	1
1549	T	4	0	1	1	F	0
1588	T	3	1	1	0	M	0
1588	T	5	0	0	0	M	0
1652	T	4	1	1	0	M	0
1705	T	5	0	1	0	M	0
1757	F	N/A	0	2	0	F	1
1779	F	N/A	1	1	0	F	1
1950	T	3	1	0	0	M	0
2036	T	5	0	0	1	M	0
2095	T	3	0	0	1	M	0
2098	T	4	1	0	0	M	0
2115	T	5	0	1	1	M	0
2302	T	3	0	1	1	M	0
2639	T	3	0	1	0	M	0
2700	T	3	0	0	0	M	0
2974	T	4	0	1	0	M	0
3073	F	N/A	1	0	0	M	1
3078	T	4	0	0	0	M	0
3172	T	4	0	0	1	M	0
3344	T	4	0	1	1	M	0
3369	F	N/A	1	2	1	M	0
3823	F	N/A	1	1	0	M	1
4487	F	N/A	1	0	1	F	0
4498	F	N/A	1	2	0	F	0
5727	F	N/A	0	2	0	M	1
6139	F	N/A	1	1	1	F	0
7398	F	N/A	0	0	0	F	1
10283	F	N/A	0	1	0	F	1
11231	F	N/A	1	0	1	M	0
13425	F	N/A	1	1	1	M	0
14431	F	N/A	1	2	0	M	0
15663	F	N/A	0	2	1	F	0
15901	F	N/A	0	2	0	F	0
18569	F	N/A	1	0	0	F	0
19040	F	N/A	0	0	0	M	1
22553	F	N/A	0	1	0	M	1
25749	F	N/A	1	1	0	F	0
45499	F	N/A	1	0	0	M	0
51268	F	N/A	0	2	1	M	0
52102	F	N/A	0	2	0	M	0
55988	F	N/A	1	1	0	M	0
67718	F	N/A	0	0	1	F	0
67816	F	N/A	0	0	0	F	0
91963	F	N/A	0	1	1	F	0
93018	F	N/A	0	1	0	F	0
174191	F	N/A	0	0	1	M	0
174454	F	N/A	0	0	0	M	0
205408	F	N/A	0	1	1	M	0
206643	F	N/A	0	1	0	M	0
